425293;53699
1000463;53124
1000205;57311
1000450;53745
503018;83766
1000481;53772
1000335;53737
1000469;53039
1000418;53739
1000720;57304
1000437;53033
1000542;53212
1000519;53160
1000478;53143
1000424;53741
1000480;53151
1000551;61324
503028;93173
1000905;68778
1000928;73016
1000522;53158
1000616;57773
1000527;53197
1000754;68800
1000486;53041
1000523;53162
503020;85493
503027;89436
1000617;57774
1000569;65990
1000547;57237
1000489;53721
425509;53727
1000546;53210
1000603;53205
1000477;53141
1000417;53723
1000444;53776
1000465;53128
1000544;55423
1000510;53778
1000451;53780
1000538;53218
1000723;66403
1001047;80243
1000521;53156
1000449;53782
1000484;53153
425295;53713
1000284;53154
1000531;67459
1000491;53709
1000356;72676
503021;89434
1000412;53701
503019;83767
1000441;53786
1000518;53203
1000528;53199
1000516;53149
1000550;57378
1000842;57300
1000428;53743
1000443;53788
1000479;53145
1001046;83768
1000722;57317
1000458;53035
503029;93413
503024;89435
1000446;53790
1000615;57750
1000410;53703
1000841;78348
503025;88089
1000472;53139
503026;89437
1000475;53134
1000781;68799
1000493;53707
1000529;53201
1000545;55424
1000520;53170
1000448;53793
1001373;51959
1000435;53031
1000537;53216
425511;53705
1001487;99639
1001473;98890
1001568;82992
1001719;85725
1001661;107604
1001843;101824

