9114      21-200-90209B  0         000007,00
9002      15-200-03651   0         000000,00
9002      15-200-12959   0         000000,00
9002      15-200-12973   0         000007,00
9002      15-200-15221   0         000002,00
9002      20-200-02425   0         000087,00
9002      20-200-02460   0         000124,00
9002      20-200-02507B  0         000070,00
9002      21-200-00033   0         000039,00
9002      21-200-00065   0         000021,00
9002      21-200-00074   0         000001,00
9002      21-200-00125   0         000030,00
9002      21-200-00470B  0         000038,00
9002      21-200-00485   0         000015,00
9002      21-200-01201B  0         000003,00
9002      21-200-01220B  0         000095,00
9002      21-200-08004B  0         000102,00
9002      55-200-01887   0         000006,00
9002      75-200-01006B  0         000037,00
9002      75-200-01291B  0         000059,00
9002      85-200-00393   0         000010,00
9002      85-200-00457   0         000020,00
9002      85-200-00478   0         000020,00
9002      85-200-00491   0         000035,00
9002      85-200-00665   0         000154,00
9002      85-200-00673   0         000018,00
9002      85-200-00702   0         000005,00
9002      85-200-00796   0         000025,00
9002      85-200-00855   0         000039,00
9002      85-260-00067   0         000020,00
9002      85-260-00068   0         000007,00
9002      85-260-00071   0         000002,00
9002      9-135-03019    0         000006,00
9002      9-250-00001    0         000025,00
9114      15-200-06066   0         000000,00
9114      20-200-02444   0         001165,00
9114      21-200-90357B  0         000016,00
9114      75-200-01077B  0         000035,00
9114      90-200-00626   0         000335,00
