9002      10-130-11002   0         000082,00
9002      10-134-01011   0         000010,00
9002      10-300-10830BR 0         000741,00
9002      10-310-10415   0         002212,00
9002      10-310-10420   0         003794,00
9002      10-310-10510   0         001036,00
9002      10-310-10515   0         001770,00
9002      10-310-10520   0         009778,00
9002      10-310-10610   0         003310,00
9002      10-310-10615   0         004368,00
9002      10-310-10620   0         006669,00
9002      10-310-10625   0         002657,00
9002      10-310-10635   0         000207,00
9002      10-310-10640   0         011408,00
9002      10-310-10645   0         001662,00
9002      10-310-10815   0         002476,00
9002      10-310-10820   0         003419,00
9002      10-310-10825   0         005241,00
9002      10-310-10830   0         000370,00
9002      15-220-00280   0         000009,00
9002      21-220-00268   0         000684,00
9002      9-130-00006    0         000001,00
9002      9-130-00007    0         000013,00
9002      9-130-08018    0         000007,00
9002      9-130-08021    0         000014,00
9002      9-130-08022    0         000034,00
9002      9-130-08034    0         000026,00
9002      9-135-00011    0         000005,00
9002      9-135-06026    0         000010,00
9002      9-135-06029    0         000074,00
9002      9-135-06030    0         000059,00
9002      9-135-06073    0         000027,00
9002      9-135-06074    0         000037,00
9002      9-135-06075    0         000024,00
9002      9-135-06099    0         000012,00
9002      9-135-27003    0         000030,00
9002      9-135-90031    0         000101,00
9002      9-135-90032    0         000066,00
9002      9-135-90227    0         000051,00
9002      9-135-90231    0         000085,00
9002      9-254-00001    0         006430,00
9002      9-254-00003    0         004254,00
9002      9-254-00004    0         015758,00
9002      9-254-00009    0         007742,00
9002      9-254-50630BR  0         001063,00
9002      9-310-60645    0         002000,00
9002      9-310-60660    0         004500,00
9002      9-310-60820    0         016854,00
9002      9-310-60830    0         012445,00
9002      9-997-90066    0         000200,00
9002      90-200-00269   0         001223,00
