9114      21-110-00027   0         000004,00
9114      21-110-00073   0         000004,00
9114      21-110-00227   0         000004,00
9114      21-110-00744   0         000046,00
9114      21-110-90074   0         000031,00
9114      21-110-90080   0         000005,00
9114      21-110-90229   0         000020,00
9114      21-110-90231   0         000020,00
9114      21-110-90253   0         000020,00
9114      21-110-90258   0         000020,00
9114      55-110-00545   0         000009,00
9114      55-110-00549   0         000006,00
9114      55-110-00620   0         000003,00
9114      55-110-00655   0         000006,00
9114      55-110-01415   0         000024,00
9114      55-110-01416   0         000004,00
9114      55-110-01593   0         000003,00
9114      55-110-01628   0         000020,00
9114      55-110-12047   0         000002,00
9114      55-110-90022   0         000002,00
9114      85-110-00530   0         000005,00
