    242104  |18731257    |20-200-04335        | 3        | 6,508 | 00:04:47  | 176,1 | 1,00  |  1,2661              |   6905,5858
    242104  |18731230    |20-200-04324        | 3        | 7,318 | 00:04:02  | 176,1 | 1,00  |  1,2661              |   5211,4478
    242104  |18731227    |20-200-04322        | 3        | 7,127 | 00:03:13  | 176,1 | 1,00  |  1,2661              |   4516,8237
    242104  |18731233    |20-200-04325        | 3        | 7,027 | 00:04:01  | 176,1 | 1,00  |  1,2661              |   4948,9404
    242104  |18736733    |20-200-05338        | 1        | 8,403 | 00:01:21  | 176,1 | 1,00  |  1,2661              |   2041,1991
    242104  |18736735    |20-200-05339        | 1        | 8,342 | 00:01:57  | 176,1 | 1,00  |  1,2661              |   3071,2953
    242104  |18815730    |11-200-11322        | 28       | 1,963 | 00:13:38  | 176,1 | 1,00  |  1,2661              |   17150,0000
    242104  |18799522    |20-200-05338        | 1        | 8,403 | 00:01:21  | 176,1 | 1,00  |  1,2661              |   2041,1991
    242104  |18799524    |20-200-05339        | 1        | 8,342 | 00:01:57  | 176,1 | 1,00  |  1,2661              |   3071,2953
    242104  |18730301    |20-200-06089        | 40       | 0,095 | 00:08:24  | 176,1 | 1,00  |  1,2661              |   7612,0000
    242104  |18823628    |20-200-05339        | 1        | 8,342 | 00:01:57  | 176,1 | 1,00  |  1,2661              |   3071,2953
    242104  |18823626    |20-200-05338        | 1        | 8,403 | 00:01:21  | 176,1 | 1,00  |  1,2661              |   2041,1991
    242104  |18725267    |20-200-04293        | 12       | 1,395 | 00:05:48  | 176,1 | 1,00  |  1,2661              |   7278,0001
    242104  |18725289    |20-200-04301        | 6        | 2,120 | 00:02:55  | 176,1 | 1,00  |  1,2661              |   3675,0001
    242104  |18725265    |20-200-04292        | 6        | 7,168 | 00:06:37  | 176,1 | 1,00  |  1,2661              |   9308,3407
