cod_empresa;num_transac;cod_item;dat_movto;dat_ref_moeda_fort;cod_operacao;num_docum;num_seq;ies_tip_movto;qtd_movto;cus_unit_movto_p;cus_tot_movto_p;cus_unit_movto_f;cus_tot_movto_f;num_conta;num_secao_requis;cod_local_est_orig;cod_local_est_dest;num_lote_orig;num_lote_dest;ies_sit_est_orig;ies_sit_est_dest;cod_turno;nom_usuario;dat_proces;hor_operac;num_prog
"01";3.025.573;"SUP0073        ";20.07.2016;20.07.2016;"TRAN";"2134538   ";;"N";240,000;0,000;0,000;0,000;0,000;"";"";"322       ";"432       ";"18072016       ";"18072016       ";"L         ";"L         ";;"mrsilvei";20.07.2016;"12:23:13";"MAN6400 "
"01";3.025.574;"TIP038         ";20.07.2016;20.07.2016;"TRAN";"2134538   ";;"N";0,024;0,000;0,000;0,000;0,000;"";"";"322       ";"432       ";"055628/001     ";"055628/001     ";"L         ";"L         ";;"mrsilvei";20.07.2016;"12:23:16";"MAN6400 "
"01";3.025.575;"SUP0073        ";20.07.2016;20.07.2016;"S003";"2134538   ";;"N";240,000;0,000;0,000;0,000;0,000;"01100103               ";"10000000  ";"432       ";"";"18072016       ";"";"L         ";"          ";1,000;"mrsilvei";20.07.2016;"12:24:54";"MAN8228 "
"01";3.025.576;"5962199000P-0D ";20.07.2016;20.07.2016;"E007";"2134538   ";;"N";240,000;0,000;0,000;0,000;0,000;"";"10000000  ";"          ";"326       ";"";"7775/9         ";"          ";"L         ";1,000;"mrsilvei";20.07.2016;"12:25:36";"MAN8228 "
