cod_empresa;ies_origem_info;num_ordem;cod_item_compon;dat_hor_entrada;cod_local_baixa;num_lote;endereco;num_volume;dat_hor_producao;dat_hor_valid;num_peca;num_serie;comprimento;largura;altura;diametro;qtd_transf;qtd_cons;parametros;grade_1;grade_2;grade_3;grade_4;grade_5;sequencia_operacao;seq_processo
"01";"P";2.134.538;"SUP0073        ";01.01.1900;"432       ";"18072016       ";"               ";0;01.01.1900;01.01.1900;"               ";"               ";0,000;0,000;0,000;0,000;240,000;240,000;"";"               ";"               ";"               ";"               ";"               ";1,000;260.540,000
"01";"P";2.134.538;"TIP038         ";01.01.1900;"432       ";"055628/001     ";"               ";0;01.01.1900;01.01.1900;"               ";"               ";0,000;0,000;0,000;0,000;0,024;0,000;"";"               ";"               ";"               ";"               ";"               ";1,000;260.540,000
