11|2002|146|F|||||1027||77204.18|36064.89||0||482.69|||1630.36|1458.59|120.67|1630.36|773.76|01.01.06
12|2002|146|F|||||1027||52960.83|38692.9||0||749.71|||1635.21|1415.38|166.6|1943.31|275.04|01.01.06
01|2002|147|F|||||1027||40579.66|26850.26||0||677.82|||1607.89|1450.59|142.7|1769.52|146.25|01.01.04
02|2002|147|F|||||1027||112341.81|81525.75||0||749.71|||1905.46|1708.56|162.98|1939.69|673.92|01.01.04
03|2002|147|F|||||1027||63188.04|63178.67||0||1027|||376.57|347.76|0|0|0|01.01.04
04|2002|147|F|||||1027||63188.04|83414.95||0||1355.64|||0|0|0|0|0|01.01.04
05|2002|147|F|||||1027||63188.04|93052.58||0||1509.69|||0|0|0|0|0|01.01.04
07|2002|150|F|||||2420||300357.51|98901.7||0||0|||1129.33|1005.1|0|2420|0|01.02.00
08|2002|150|F|||||2420||579749.32|388844.69||0||1621.4|||4281.61|3759.63|240.21|4281.61|556.84|01.02.00
09|2002|150|F|||||2420||691677.93|361292.85||0||1258.4|||3993|3549.53|314.6|3993|989.89|01.02.00
10|2002|150|F|||||2420||757187.4|483526||0||1548.8|||4266.65|3747.93|297.85|4266.62|808.75|01.02.00
11|2002|150|F|||||2420||671642.24|469710.09||0||1694|||4537.5|3944.57|423.5|4537.5|1067.86|01.02.00
12|2002|150|F|||||2420||460735.77|399059.83||0||2105.4|||4267.27|3624.62|467.87|4993.27|416.43|01.02.00
01|2002|156|F|||||1027||41548.9|21505.53||0||534.04|||1433.84|1276.54|112.43|1595.47|411.53|01.01.06
02|2002|156|F|||||1027||112911.17|35785.88||0||0|||992.77|883.57|0|1027|774.62|01.01.06
03|2002|156|F|||||1027||81374.13|51652.19||0||647.01|||1829.29|1642.9|155.28|1829.29|870.76|01.01.06
04|2002|156|F|||||1027||83481.92|24831.36||0||0|||1027|914.03|0|1027|1059.77|01.01.06
05|2002|156|F|||||1027||87622.32|20559.41||0||0|||1027|914.03|0|1027|826.69|01.01.06
06|2002|156|F|||||1027||88777.78|54890||0||636.74|||1791.09|1598.13|127.35|1791.09|980.54|01.01.06
07|2002|156|F|||||1027||47544.63|44447.42||0||955.11|||273.87|252.92|0|1982.11|369.34|01.01.06
01|2002|162|F|||||1027||38741.3|36669.26||0||975.65|||1968.42|1757.83|205.4|2130.05|392.92|01.01.03
02|2002|162|F|||||1027||107524.35|83069.16||0||790.79|||1955.47|1750.6|171.91|1989.7|600|01.01.03
